,importance
sensor_11,0.6843537504394356
sensor_9,0.1395722938691438
sensor_4,0.07519264561252159
sensor_12,0.03620090989143086
sensor_7,0.01694751437958382
sensor_14,0.013730307086526462
sensor_15,0.009781907044516475
sensor_13,0.00569234558539514
sensor_21,0.004642112611601774
sensor_2,0.004099560805603937
sensor_8,0.00291192710678625
sensor_20,0.0028286844122815164
sensor_3,0.0027233852497477794
sensor_17,0.0007575318570257265
op_setting_1,0.0003708850531909186
op_setting_2,0.0001942389952085776
op_setting_3,0.0
