,importance
sensor_18,0.6748039
sensor_13,0.083547786
sensor_11,0.04180947
sensor_4,0.033696443
sensor_15,0.029566025
sensor_21,0.02479719
sensor_14,0.01582962
sensor_8,0.012569103
sensor_9,0.012085954
sensor_10,0.011143607
sensor_16,0.011091335
sensor_12,0.010866572
sensor_7,0.008898781
sensor_20,0.0072259293
sensor_2,0.005685215
sensor_6,0.004927421
sensor_3,0.0039020812
sensor_17,0.0036888872
op_setting_2,0.0019997382
sensor_1,0.0013667566
op_setting_1,0.0004980948
op_setting_3,0.0
sensor_5,0.0
sensor_19,0.0
