subset,model,RMSE,MAE,PHM_score
FD001,RandomForest,18.39266980183123,13.493103472816836,525.8976867167019
FD001,XGBoost,18.01913791097364,13.241185188293457,561.142791181505
FD001,ANN,18.409340457185248,13.088808652748824,648.3787203883753
FD002,RandomForest,31.48978487468864,23.038499206602683,65442.342328243176
FD002,XGBoost,29.426781778506527,20.81648063659668,63473.95397449852
FD002,ANN,31.276035125278277,22.761704284177682,125708.09999458163
FD003,RandomForest,21.922198200370662,16.75181277331053,927.7029831627477
FD003,XGBoost,22.2441281918099,16.49603843688965,1013.3953384143408
FD003,ANN,20.87981345596564,15.48484469545675,905.518459064038
FD004,RandomForest,33.37463193671891,25.195309162493583,44707.71994532698
FD004,XGBoost,30.28800355222654,22.555753707885742,38780.01093587729
FD004,ANN,34.45863196624335,26.88456652863758,61771.50009870647
