,importance
sensor_13,0.4888805077339999
sensor_11,0.1867974803333098
sensor_15,0.13530892376336107
sensor_12,0.05069398164501696
sensor_4,0.05059306557218956
sensor_14,0.022154160548923798
sensor_9,0.018599493613850722
sensor_8,0.01161283478484161
sensor_7,0.011113655396920736
sensor_2,0.010450114116748377
sensor_6,0.006952238721260112
sensor_10,0.00308830518974683
sensor_3,0.0013566405893121985
sensor_21,0.0009488428160913617
sensor_20,0.0006865299200941094
sensor_17,0.0003622181477755957
op_setting_1,0.0002621861372586105
op_setting_2,0.00011860463042413418
sensor_16,2.021633887460184e-05
op_setting_3,0.0
sensor_5,0.0
sensor_1,0.0
sensor_19,0.0
sensor_18,0.0
